         -10   5.00000000    
          -9   3.23606777    
          -8   1.33280039E-07
          -7   1.23606813    
          -6   1.78813934E-07
          -5   1.00000000    
          -4   3.76972878E-07
          -3   1.23606706    
          -2   5.49527670E-07
          -1   3.23607016    
           0   5.00000000    
           1   3.23606777    
           2   1.33280039E-07
           3   1.23606813    
           4   1.78813934E-07
           5   1.00000000    
           6   3.76972878E-07
           7   1.23606706    
           8   5.49527670E-07
           9   3.23607016    
          10   5.00000000    
          11   3.23606777    
          12   1.33280039E-07
          13   1.23606813    
          14   1.78813934E-07
          15   1.00000000    
          16   3.76972878E-07
          17   1.23606706    
          18   5.49527670E-07
          19   3.23607016    
